date,gameid
20100327,HTOB0
20100327,HHSK0
20100327,LGSS0
20100327,WOLT0
20100328,HHSK0
20100328,LGSS0
20100328,WOLT0
20100328,HTOB0
20100330,SKLG0
20100330,OBWO0
20100330,LTHH0
20100330,SSHT0
20100331,SSHT0
20100402,WOLG0
20100402,OBSK0
20100402,SSHH0
20100402,LTHT0
20100403,LTHT0
20100403,WOLG0
20100403,OBSK0
20100403,SSHH0
20100404,OBSK0
20100404,WOLG0
20100404,SSHH0
20100404,LTHT0
20100406,HHOB0
20100406,HTSK0
20100406,WOSS0
20100406,LGLT0
20100407,HHOB0
20100407,HTSK0
20100407,WOSS0
20100407,LGLT0
20100408,HHOB0
20100408,HTSK0
20100408,WOSS0
20100408,LGLT0
20100409,LGOB0
20100409,SKWO0
20100409,HTSS0
20100409,HHLT0
20100410,LGOB0
20100410,SKWO0
20100410,HTSS0
20100410,HHLT0
20100411,HTSS0
20100411,HHLT0
20100411,LGOB0
20100411,SKWO0
20100413,SSLG0
20100413,LTWO0
20100413,SKHH0
20100413,OBHT0
20100414,SSLG0
20100414,LTWO0
20100414,SKHH0
20100415,SSLG0
20100415,LTWO0
20100415,SKHH0
20100415,OBHT0
20100416,LTOB0
20100416,SSSK0
20100416,LGHT0
20100416,WOHH0
20100417,LTOB0
20100417,SSSK0
20100417,LGHT0
20100417,WOHH0
20100418,LTOB0
20100418,SSSK0
20100418,WOHH0
20100420,SKOB0
20100420,LGWO0
20100420,HHSS0
20100420,HTLT0
20100421,HHSS0
20100421,HTLT0
20100422,SKOB0
20100422,LGWO0
20100422,HHSS0
20100422,HTLT0
20100423,HHLG0
20100423,HTWO0
20100423,LTSK0
20100423,OBSS0
20100424,HHLG0
20100424,HTWO0
20100424,LTSK0
20100424,OBSS0
20100425,OBSS0
20100425,HHLG0
20100425,HTWO0
20100425,LTSK0
20100427,OBHH0
20100427,WOLT0
20100427,SKHT0
20100428,WOLT0
20100429,SSLG0
20100429,OBHH0
20100429,WOLT0
20100429,SKHT0
20100430,WOOB0
20100430,LGSK0
20100430,SSHH0
20100430,HTLT0
20100501,WOOB0
20100501,LGSK0
20100501,SSHH0
20100501,HTLT0
20100502,HTLT0
20100502,WOOB0
20100502,LGSK0
20100502,SSHH0
20100504,OBLG0
20100504,WOSK0
20100504,LTSS0
20100504,HHHT0
20100505,OBLG0
20100505,WOSK0
20100505,LTSS0
20100505,HHHT0
20100506,OBLG0
20100506,WOSK0
20100506,LTSS0
20100506,HHHT0
20100507,HTLG0
20100507,HHWO0
20100507,SKSS0
20100507,OBLT0
20100508,HTLG0
20100508,HHWO0
20100508,SKSS0
20100508,OBLT0
20100509,SKSS0
20100509,OBLT0
20100509,HTLG0
20100509,HHWO0
20100511,SSOB0
20100511,SKLT0
20100511,WOHT0
20100511,LGHH0
20100512,SSOB0
20100512,SKLT0
20100512,WOHT0
20100512,LGHH0
20100513,SSOB0
20100513,SKLT0
20100513,WOHT0
20100513,LGHH0
20100514,LTLG0
20100514,SSWO0
20100514,OBSK0
20100514,HTHH0
20100515,LTLG0
20100515,SSWO0
20100515,OBSK0
20100515,HTHH0
20100516,LTLG0
20100516,SSWO0
20100516,OBSK0
20100516,HTHH0
20100519,HHOB0
20100519,WOSK0
20100519,LGSS0
20100519,LTHT0
20100520,HHOB0
20100520,WOSK0
20100520,LGSS0
20100520,LTHT0
20100521,LGOB0
20100521,SKHH0
20100521,SSLT0
20100521,WOHT0
20100522,LGOB0
20100523,LGOB0
20100523,WOHT0
20100525,HTLG0
20100525,WOHH0
20100525,SKSS0
20100525,OBLT0
20100526,HTLG0
20100526,WOHH0
20100526,SKSS0
20100526,OBLT0
20100527,HTLG0
20100527,WOHH0
20100527,SKSS0
20100527,OBLT0
20100528,SSOB0
20100528,LGWO0
20100528,LTSK0
20100528,HHHT0
20100529,SSOB0
20100529,LGWO0
20100529,LTSK0
20100529,HHHT0
20100530,SSOB0
20100530,LGWO0
20100530,LTSK0
20100530,HHHT0
20100601,WOOB0
20100601,HHSK0
20100601,HTSS0
20100601,LGLT0
20100602,WOOB0
20100602,HHSK0
20100602,HTSS0
20100602,LGLT0
20100603,WOOB0
20100603,HHSK0
20100603,HTSS0
20100603,LGLT0
20100604,SKLG0
20100604,HTWO0
20100604,OBHH0
20100604,LTSS0
20100605,SKLG0
20100605,HTWO0
20100605,OBHH0
20100605,LTSS0
20100606,SKLG0
20100606,HTWO0
20100606,OBHH0
20100606,LTSS0
20100608,HHLG0
20100608,LTWO0
20100608,SSSK0
20100608,OBHT0
20100609,HHLG0
20100609,LTWO0
20100609,SSSK0
20100609,OBHT0
20100610,HHLG0
20100610,LTWO0
20100610,SSSK0
20100610,OBHT0
20100611,SKOB0
20100611,WOSS0
20100611,LGHT0
20100611,HHLT0
20100612,WOSS0
20100612,HHLT0
20100612,LGHT0
20100613,SKOB0
20100613,WOSS0
20100613,HHLT0
20100613,LGHT0
20100615,OBLG0
20100615,SKWO0
20100615,HTHH0
20100615,SSLT0
20100616,OBLG0
20100616,SKWO0
20100616,HTHH0
20100616,SSLT0
20100617,OBLG0
20100617,SKWO0
20100617,HTHH0
20100617,SSLT0
20100618,LTLG0
20100618,HTSK0
20100618,HHSS0
20100619,LTLG0
20100619,OBWO0
20100619,HTSK0
20100619,HHSS0
20100620,LTLG0
20100620,OBWO0
20100620,HTSK0
20100620,HHSS0
20100622,SSOB0
20100622,LGSK0
20100622,WOHT0
20100622,HHLT0
20100623,SSOB0
20100623,LGSK0
20100623,WOHT0
20100623,HHLT0
20100624,SSOB0
20100624,LGSK0
20100624,WOHT0
20100624,HHLT0
20100625,HTOB0
20100625,SSWO0
20100625,LGHH0
20100626,HTOB0
20100626,SSWO0
20100626,LGHH0
20100627,HTOB0
20100627,SSWO0
20100627,LGHH0
20100627,SKLT0
20100629,WOLG0
20100629,OBHH0
20100629,LTSS0
20100629,SKHT0
20100630,WOLG0
20100630,OBHH0
20100630,LTSS0
20100630,SKHT0
20100701,WOLG0
20100701,OBHH0
20100701,LTSS0
20100701,SKHT0
20100703,LTLG0
20100703,HHWO0
20100703,OBSK0
20100703,HTSS0
20100704,LTLG0
20100704,HHWO0
20100704,OBSK0
20100704,HTSS0
20100706,HTOB0
20100706,SSSK0
20100706,LGHH0
20100706,WOLT0
20100707,SSSK0
20100707,LGHH0
20100707,WOLT0
20100708,HTOB0
20100708,SSSK0
20100708,LGHH0
20100708,WOLT0
20100709,OBLG0
20100709,SSWO0
20100709,SKLT0
20100709,HHHT0
20100710,OBLG0
20100710,SSWO0
20100710,SKLT0
20100710,HHHT0
20100711,OBLG0
20100711,SSWO0
20100713,LTWO0
20100713,HHSK0
20100713,OBSS0
20100714,HTLG0
20100714,LTWO0
20100714,HHSK0
20100714,OBSS0
20100715,HTLG0
20100715,LTWO0
20100715,HHSK0
20100715,OBSS0
20100717,WOHH0
20100717,LGSS0
20100717,SKHT0
20100718,LTOB0
20100718,WOHH0
20100718,LGSS0
20100718,SKHT0
20100720,LGOB0
20100720,SKWO0
20100720,LTHH0
20100720,SSHT0
20100721,LGOB0
20100721,SKWO0
20100721,LTHH0
20100721,SSHT0
20100722,LGOB0
20100722,SKWO0
20100722,LTHH0
20100722,SSHT0
20100727,SKLG0
20100727,OBWO0
20100727,HTLT0
20100728,SKLG0
20100728,OBWO0
20100728,SSHH0
20100729,SKLG0
20100729,OBWO0
20100729,SSHH0
20100729,HTLT0
20100730,HHOB0
20100730,HTSK0
20100730,WOSS0
20100730,LGLT0
20100731,HHOB0
20100731,HTSK0
20100731,WOSS0
20100731,LGLT0
20100801,HHOB0
20100801,HTSK0
20100801,WOSS0
20100801,LGLT0
20100803,LTOB0
20100803,HHWO0
20100803,SKSS0
20100803,LGHT0
20100804,LTOB0
20100804,HHWO0
20100804,SKSS0
20100804,LGHT0
20100805,LTOB0
20100805,HHWO0
20100805,SKSS0
20100805,LGHT0
20100806,SSLG0
20100806,WOSK0
20100806,LTHH0
20100806,OBHT0
20100807,SSLG0
20100807,WOSK0
20100807,LTHH0
20100807,OBHT0
20100808,SSLG0
20100808,WOSK0
20100808,LTHH0
20100808,OBHT0
20100811,WOOB0
20100811,LGSK0
20100811,SSLT0
20100811,HTHH0
20100812,SSLT0
20100812,HTHH0
20100813,SKOB0
20100813,LGWO0
20100813,HHSS0
20100813,LTHT0
20100814,LGWO0
20100814,HHSS0
20100814,LTHT0
20100815,SKOB0
20100815,LGWO0
20100815,HHSS0
20100815,LTHT0
20100817,HHLG0
20100817,HTWO0
20100817,LTSK0
20100817,OBSS0
20100818,HHLG0
20100818,HTWO0
20100818,LTSK0
20100818,OBSS0
20100819,HHLG0
20100819,HTWO0
20100819,LTSK0
20100819,OBSS0
20100820,WOLG0
20100820,SKHH0
20100820,OBLT0
20100820,SSHT0
20100821,WOLG0
20100821,SKHH0
20100821,OBLT0
20100821,SSHT0
20100822,WOLG0
20100822,SKHH0
20100822,OBLT0
20100822,SSHT0
20100824,LGOB0
20100824,HTLT0
20100825,HHOB0
20100825,WOSK0
20100825,LGHT0
20100826,HHWO0
20100826,OBSS0
20100826,SKHT0
20100827,HHWO0
20100827,OBLT0
20100827,SKHT0
20100828,SSLG0
20100828,OBHH0
20100828,SKLT0
20100829,OBHH0
20100829,SKLT0
20100829,WOHT0
20100831,WOLG0
20100831,HTSS0
20100901,SKOB0
20100901,SSWO0
20100901,LGLT0
20100902,SSHH0
20100902,LTHT0
20100903,SKOB0
20100903,SSHH0
20100903,LTHT0
20100904,HTOB0
20100904,LGSK0
20100904,SSLT0
20100905,HTOB0
20100905,SSLT0
20100907,OBSK0
20100907,WOLT0
20100907,HHHT0
20100908,WOOB0
20100908,LTSS0
20100908,HHHT0
20100909,LTLG0
20100909,HTWO0
20100909,SKHH0
20100910,SKHH0
20100910,LGSS0
20100911,LTOB0
20100911,SKHH0
20100912,LTOB0
20100912,HTSK0
20100912,LGSS0
20100914,HHLG0
20100914,SKLT0
20100914,OBHT0
20100915,WOHH0
20100915,SKLT0
20100915,OBHT0
20100916,SKLG0
20100916,SSHT0
20100917,SKLG0
20100917,OBWO0
20100917,LTHH0
20100917,SSHT0
20100918,HTLG0
20100918,OBWO0
20100918,LTHH0
20100919,HTLG0
20100919,LTHH0
20100919,SKSS0
20100920,OBWO0
20100921,LGSS0
20100922,SKOB1
20100922,LGWO0
20100922,SKOB2
20100923,WOOB0
20100923,LGSK0
20100924,WOOB0
20100924,LGSK0
20100924,SSLT0
20100925,SSLG0
20100925,LTWO0
20100925,HHSK0
20100926,SSLG0
20100926,WOSK0
20100926,HTHH0
20110402,LGOB0
20110402,WOSK0
20110402,HHLT0
20110402,SSHT0
20110403,LGOB0
20110403,WOSK0
20110403,HHLT0
20110403,SSHT0
20110405,SKLG0
20110405,OBWO0
20110405,HTHH0
20110405,LTSS0
20110406,SKLG0
20110406,OBWO0
20110406,HTHH0
20110406,LTSS0
20110408,HTOB0
20110408,LTWO0
20110408,SSSK0
20110408,LGHH0
20110409,HTOB0
20110409,LTWO0
20110409,SSSK0
20110409,LGHH0
20110410,HTOB0
20110410,LTWO0
20110410,SSSK0
20110410,LGHH0
20110412,SSLG0
20110412,HHSK0
20110412,OBLT0
20110412,WOHT0
20110413,SSLG0
20110413,HHSK0
20110413,OBLT0
20110413,WOHT0
20110414,SSLG0
20110414,HHSK0
20110414,OBLT0
20110414,WOHT0
20110415,LTLG0
20110415,SKWO0
20110415,OBSS0
20110415,HHHT0
20110416,LTLG0
20110416,SKWO0
20110416,OBSS0
20110416,HHHT0
20110417,LTLG0
20110417,SKWO0
20110417,OBSS0
20110417,HHHT0
20110419,WOOB0
20110419,LGSK0
20110419,LTHH0
20110419,HTSS0
20110420,WOOB0
20110420,LGSK0
20110420,LTHH0
20110420,HTSS0
20110421,LGSK0
20110421,WOOB0
20110421,LTHH0
20110421,HTSS0
20110422,HTLG0
20110422,SSWO0
20110423,HTLG0
20110423,SSWO0
20110423,OBHH0
20110423,SKLT0
20110424,HTLG0
20110424,SSWO0
20110424,OBHH0
20110424,SKLT0
20110426,HHWO0
20110426,LGLT0
20110427,SSOB0
20110427,HHWO0
20110427,LGLT0
20110427,SKHT0
20110428,SSOB0
20110428,HHWO0
20110428,LGLT0
20110428,SKHT0
20110429,WOLG0
20110429,OBSK0
20110429,HHSS0
20110429,LTHT0
20110430,HHSS0
20110430,LTHT0
20110501,WOLG0
20110501,OBSK0
20110501,HHSS0
20110501,LTHT0
20110503,LGOB0
20110503,HTWO0
20110503,SKHH0
20110503,SSLT0
20110504,LGOB0
20110504,HTWO0
20110504,SKHH0
20110504,SSLT0
20110505,HTWO0
20110505,SKHH0
20110505,SSLT0
20110505,LGOB0
20110506,LTOB0
20110506,HTSK0
20110506,WOHH0
20110506,LGSS0
20110507,LTOB0
20110507,HTSK0
20110507,WOHH0
20110507,LGSS0
20110508,LTOB0
20110508,HTSK0
20110508,WOHH0
20110508,LGSS0
20110510,SKSS0
20110510,OBHT0
