"date","gameid"
"2010-03-27","HTOB0"
"2010-03-27","HHSK0"
"2010-03-27","LGSS0"
"2010-03-27","WOLT0"
"2010-03-28","HHSK0"
"2010-03-28","LGSS0"
"2010-03-28","WOLT0"
"2010-03-28","HTOB0"
"2010-03-30","SKLG0"
"2010-03-30","OBWO0"
"2010-03-30","LTHH0"
"2010-03-30","SSHT0"
"2010-03-31","SSHT0"
"2010-04-02","WOLG0"
"2010-04-02","OBSK0"
"2010-04-02","SSHH0"
"2010-04-02","LTHT0"
"2010-04-03","LTHT0"
"2010-04-03","WOLG0"
"2010-04-03","OBSK0"
"2010-04-03","SSHH0"
"2010-04-04","OBSK0"
"2010-04-04","WOLG0"
"2010-04-04","SSHH0"
"2010-04-04","LTHT0"
"2010-04-06","HHOB0"
"2010-04-06","HTSK0"
"2010-04-06","WOSS0"
"2010-04-06","LGLT0"
"2010-04-07","HHOB0"
"2010-04-07","HTSK0"
"2010-04-07","WOSS0"
"2010-04-07","LGLT0"
"2010-04-08","HHOB0"
"2010-04-08","HTSK0"
"2010-04-08","WOSS0"
"2010-04-08","LGLT0"
"2010-04-09","LGOB0"
"2010-04-09","SKWO0"
"2010-04-09","HTSS0"
"2010-04-09","HHLT0"
"2010-04-10","LGOB0"
"2010-04-10","SKWO0"
"2010-04-10","HTSS0"
"2010-04-10","HHLT0"
"2010-04-11","HTSS0"
"2010-04-11","HHLT0"
"2010-04-11","LGOB0"
"2010-04-11","SKWO0"
"2010-04-13","SSLG0"
"2010-04-13","LTWO0"
"2010-04-13","SKHH0"
"2010-04-13","OBHT0"
"2010-04-14","SSLG0"
"2010-04-14","LTWO0"
"2010-04-14","SKHH0"
"2010-04-15","SSLG0"
"2010-04-15","LTWO0"
"2010-04-15","SKHH0"
"2010-04-15","OBHT0"
"2010-04-16","LTOB0"
"2010-04-16","SSSK0"
"2010-04-16","LGHT0"
"2010-04-16","WOHH0"
"2010-04-17","LTOB0"
"2010-04-17","SSSK0"
"2010-04-17","LGHT0"
"2010-04-17","WOHH0"
"2010-04-18","LTOB0"
"2010-04-18","SSSK0"
"2010-04-18","WOHH0"
"2010-04-20","SKOB0"
"2010-04-20","LGWO0"
"2010-04-20","HHSS0"
"2010-04-20","HTLT0"
"2010-04-21","HHSS0"
"2010-04-21","HTLT0"
"2010-04-22","SKOB0"
"2010-04-22","LGWO0"
"2010-04-22","HHSS0"
"2010-04-22","HTLT0"
"2010-04-23","HHLG0"
"2010-04-23","HTWO0"
"2010-04-23","LTSK0"
"2010-04-23","OBSS0"
"2010-04-24","HHLG0"
"2010-04-24","HTWO0"
"2010-04-24","LTSK0"
"2010-04-24","OBSS0"
"2010-04-25","OBSS0"
"2010-04-25","HHLG0"
"2010-04-25","HTWO0"
"2010-04-25","LTSK0"
"2010-04-27","OBHH0"
"2010-04-27","WOLT0"
"2010-04-27","SKHT0"
"2010-04-28","WOLT0"
"2010-04-29","SSLG0"
"2010-04-29","OBHH0"
"2010-04-29","WOLT0"
"2010-04-29","SKHT0"
"2010-04-30","WOOB0"
"2010-04-30","LGSK0"
"2010-04-30","SSHH0"
"2010-04-30","HTLT0"
"2010-05-01","WOOB0"
"2010-05-01","LGSK0"
"2010-05-01","SSHH0"
"2010-05-01","HTLT0"
"2010-05-02","HTLT0"
"2010-05-02","WOOB0"
"2010-05-02","LGSK0"
"2010-05-02","SSHH0"
"2010-05-04","OBLG0"
"2010-05-04","WOSK0"
"2010-05-04","LTSS0"
"2010-05-04","HHHT0"
"2010-05-05","OBLG0"
"2010-05-05","WOSK0"
"2010-05-05","LTSS0"
"2010-05-05","HHHT0"
"2010-05-06","OBLG0"
"2010-05-06","WOSK0"
"2010-05-06","LTSS0"
"2010-05-06","HHHT0"
"2010-05-07","HTLG0"
"2010-05-07","HHWO0"
"2010-05-07","SKSS0"
"2010-05-07","OBLT0"
"2010-05-08","HTLG0"
"2010-05-08","HHWO0"
"2010-05-08","SKSS0"
"2010-05-08","OBLT0"
"2010-05-09","SKSS0"
"2010-05-09","OBLT0"
"2010-05-09","HTLG0"
"2010-05-09","HHWO0"
"2010-05-11","SSOB0"
"2010-05-11","SKLT0"
"2010-05-11","WOHT0"
"2010-05-11","LGHH0"
"2010-05-12","SSOB0"
"2010-05-12","SKLT0"
"2010-05-12","WOHT0"
"2010-05-12","LGHH0"
"2010-05-13","SSOB0"
"2010-05-13","SKLT0"
"2010-05-13","WOHT0"
"2010-05-13","LGHH0"
"2010-05-14","LTLG0"
"2010-05-14","SSWO0"
"2010-05-14","OBSK0"
"2010-05-14","HTHH0"
"2010-05-15","LTLG0"
"2010-05-15","SSWO0"
"2010-05-15","OBSK0"
"2010-05-15","HTHH0"
"2010-05-16","LTLG0"
"2010-05-16","SSWO0"
"2010-05-16","OBSK0"
"2010-05-16","HTHH0"
"2010-05-19","HHOB0"
"2010-05-19","WOSK0"
"2010-05-19","LGSS0"
"2010-05-19","LTHT0"
"2010-05-20","HHOB0"
"2010-05-20","WOSK0"
"2010-05-20","LGSS0"
"2010-05-20","LTHT0"
"2010-05-21","LGOB0"
"2010-05-21","SKHH0"
"2010-05-21","SSLT0"
"2010-05-21","WOHT0"
"2010-05-22","LGOB0"
"2010-05-23","LGOB0"
"2010-05-23","WOHT0"
"2010-05-25","HTLG0"
"2010-05-25","WOHH0"
"2010-05-25","SKSS0"
"2010-05-25","OBLT0"
"2010-05-26","HTLG0"
"2010-05-26","WOHH0"
"2010-05-26","SKSS0"
"2010-05-26","OBLT0"
"2010-05-27","HTLG0"
"2010-05-27","WOHH0"
"2010-05-27","SKSS0"
"2010-05-27","OBLT0"
"2010-05-28","SSOB0"
"2010-05-28","LGWO0"
"2010-05-28","LTSK0"
"2010-05-28","HHHT0"
"2010-05-29","SSOB0"
"2010-05-29","LGWO0"
"2010-05-29","LTSK0"
"2010-05-29","HHHT0"
"2010-05-30","SSOB0"
"2010-05-30","LGWO0"
"2010-05-30","LTSK0"
"2010-05-30","HHHT0"
"2010-06-01","WOOB0"
"2010-06-01","HHSK0"
"2010-06-01","HTSS0"
"2010-06-01","LGLT0"
"2010-06-02","WOOB0"
"2010-06-02","HHSK0"
"2010-06-02","HTSS0"
"2010-06-02","LGLT0"
"2010-06-03","WOOB0"
"2010-06-03","HHSK0"
"2010-06-03","HTSS0"
"2010-06-03","LGLT0"
"2010-06-04","SKLG0"
"2010-06-04","HTWO0"
"2010-06-04","OBHH0"
"2010-06-04","LTSS0"
"2010-06-05","SKLG0"
"2010-06-05","HTWO0"
"2010-06-05","OBHH0"
"2010-06-05","LTSS0"
"2010-06-06","SKLG0"
"2010-06-06","HTWO0"
"2010-06-06","OBHH0"
"2010-06-06","LTSS0"
"2010-06-08","HHLG0"
"2010-06-08","LTWO0"
"2010-06-08","SSSK0"
"2010-06-08","OBHT0"
"2010-06-09","HHLG0"
"2010-06-09","LTWO0"
"2010-06-09","SSSK0"
"2010-06-09","OBHT0"
"2010-06-10","HHLG0"
"2010-06-10","LTWO0"
"2010-06-10","SSSK0"
"2010-06-10","OBHT0"
"2010-06-11","SKOB0"
"2010-06-11","WOSS0"
"2010-06-11","LGHT0"
"2010-06-11","HHLT0"
"2010-06-12","WOSS0"
"2010-06-12","HHLT0"
"2010-06-12","LGHT0"
"2010-06-13","SKOB0"
"2010-06-13","WOSS0"
"2010-06-13","HHLT0"
"2010-06-13","LGHT0"
"2010-06-15","OBLG0"
"2010-06-15","SKWO0"
"2010-06-15","HTHH0"
"2010-06-15","SSLT0"
"2010-06-16","OBLG0"
"2010-06-16","SKWO0"
"2010-06-16","HTHH0"
"2010-06-16","SSLT0"
"2010-06-17","OBLG0"
"2010-06-17","SKWO0"
"2010-06-17","HTHH0"
"2010-06-17","SSLT0"
"2010-06-18","LTLG0"
"2010-06-18","HTSK0"
"2010-06-18","HHSS0"
"2010-06-19","LTLG0"
"2010-06-19","OBWO0"
"2010-06-19","HTSK0"
"2010-06-19","HHSS0"
"2010-06-20","LTLG0"
"2010-06-20","OBWO0"
"2010-06-20","HTSK0"
"2010-06-20","HHSS0"
"2010-06-22","SSOB0"
"2010-06-22","LGSK0"
"2010-06-22","WOHT0"
"2010-06-22","HHLT0"
"2010-06-23","SSOB0"
"2010-06-23","LGSK0"
"2010-06-23","WOHT0"
"2010-06-23","HHLT0"
"2010-06-24","SSOB0"
"2010-06-24","LGSK0"
"2010-06-24","WOHT0"
"2010-06-24","HHLT0"
"2010-06-25","HTOB0"
"2010-06-25","SSWO0"
"2010-06-25","LGHH0"
"2010-06-26","HTOB0"
"2010-06-26","SSWO0"
"2010-06-26","LGHH0"
"2010-06-27","HTOB0"
"2010-06-27","SSWO0"
"2010-06-27","LGHH0"
"2010-06-27","SKLT0"
"2010-06-29","WOLG0"
"2010-06-29","OBHH0"
"2010-06-29","LTSS0"
"2010-06-29","SKHT0"
"2010-06-30","WOLG0"
"2010-06-30","OBHH0"
"2010-06-30","LTSS0"
"2010-06-30","SKHT0"
"2010-07-01","WOLG0"
"2010-07-01","OBHH0"
"2010-07-01","LTSS0"
"2010-07-01","SKHT0"
"2010-07-03","LTLG0"
"2010-07-03","HHWO0"
"2010-07-03","OBSK0"
"2010-07-03","HTSS0"
"2010-07-04","LTLG0"
"2010-07-04","HHWO0"
"2010-07-04","OBSK0"
"2010-07-04","HTSS0"
"2010-07-06","HTOB0"
"2010-07-06","SSSK0"
"2010-07-06","LGHH0"
"2010-07-06","WOLT0"
"2010-07-07","SSSK0"
"2010-07-07","LGHH0"
"2010-07-07","WOLT0"
"2010-07-08","HTOB0"
"2010-07-08","SSSK0"
"2010-07-08","LGHH0"
"2010-07-08","WOLT0"
"2010-07-09","OBLG0"
"2010-07-09","SSWO0"
"2010-07-09","SKLT0"
"2010-07-09","HHHT0"
"2010-07-10","OBLG0"
"2010-07-10","SSWO0"
"2010-07-10","SKLT0"
"2010-07-10","HHHT0"
"2010-07-11","OBLG0"
"2010-07-11","SSWO0"
"2010-07-13","LTWO0"
"2010-07-13","HHSK0"
"2010-07-13","OBSS0"
"2010-07-14","HTLG0"
"2010-07-14","LTWO0"
"2010-07-14","HHSK0"
"2010-07-14","OBSS0"
"2010-07-15","HTLG0"
"2010-07-15","LTWO0"
"2010-07-15","HHSK0"
"2010-07-15","OBSS0"
"2010-07-17","WOHH0"
"2010-07-17","LGSS0"
"2010-07-17","SKHT0"
"2010-07-18","LTOB0"
"2010-07-18","WOHH0"
"2010-07-18","LGSS0"
"2010-07-18","SKHT0"
"2010-07-20","LGOB0"
"2010-07-20","SKWO0"
"2010-07-20","LTHH0"
"2010-07-20","SSHT0"
"2010-07-21","LGOB0"
"2010-07-21","SKWO0"
"2010-07-21","LTHH0"
"2010-07-21","SSHT0"
"2010-07-22","LGOB0"
"2010-07-22","SKWO0"
"2010-07-22","LTHH0"
"2010-07-22","SSHT0"
"2010-07-27","SKLG0"
"2010-07-27","OBWO0"
"2010-07-27","HTLT0"
"2010-07-28","SKLG0"
"2010-07-28","OBWO0"
"2010-07-28","SSHH0"
"2010-07-29","SKLG0"
"2010-07-29","OBWO0"
"2010-07-29","SSHH0"
"2010-07-29","HTLT0"
"2010-07-30","HHOB0"
"2010-07-30","HTSK0"
"2010-07-30","WOSS0"
"2010-07-30","LGLT0"
"2010-07-31","HHOB0"
"2010-07-31","HTSK0"
"2010-07-31","WOSS0"
"2010-07-31","LGLT0"
"2010-08-01","HHOB0"
"2010-08-01","HTSK0"
"2010-08-01","WOSS0"
"2010-08-01","LGLT0"
"2010-08-03","LTOB0"
"2010-08-03","HHWO0"
"2010-08-03","SKSS0"
"2010-08-03","LGHT0"
"2010-08-04","LTOB0"
"2010-08-04","HHWO0"
"2010-08-04","SKSS0"
"2010-08-04","LGHT0"
"2010-08-05","LTOB0"
"2010-08-05","HHWO0"
"2010-08-05","SKSS0"
"2010-08-05","LGHT0"
"2010-08-06","SSLG0"
"2010-08-06","WOSK0"
"2010-08-06","LTHH0"
"2010-08-06","OBHT0"
"2010-08-07","SSLG0"
"2010-08-07","WOSK0"
"2010-08-07","LTHH0"
"2010-08-07","OBHT0"
"2010-08-08","SSLG0"
"2010-08-08","WOSK0"
"2010-08-08","LTHH0"
"2010-08-08","OBHT0"
"2010-08-11","WOOB0"
"2010-08-11","LGSK0"
"2010-08-11","SSLT0"
"2010-08-11","HTHH0"
"2010-08-12","SSLT0"
"2010-08-12","HTHH0"
"2010-08-13","SKOB0"
"2010-08-13","LGWO0"
"2010-08-13","HHSS0"
"2010-08-13","LTHT0"
"2010-08-14","LGWO0"
"2010-08-14","HHSS0"
"2010-08-14","LTHT0"
"2010-08-15","SKOB0"
"2010-08-15","LGWO0"
"2010-08-15","HHSS0"
"2010-08-15","LTHT0"
"2010-08-17","HHLG0"
"2010-08-17","HTWO0"
"2010-08-17","LTSK0"
"2010-08-17","OBSS0"
"2010-08-18","HHLG0"
"2010-08-18","HTWO0"
"2010-08-18","LTSK0"
"2010-08-18","OBSS0"
