"","name","namecode","id","season","nickname"
"1","가득염","가득염01",1,2010,""
"2","가르시아","가르시아01",2,2011,"가르시아_1974"
"3","가르시아","가르시아02",3,2018,"가르시아_1985"
"4","가코","가코01",4,2011,""
"5","강경학","강경학01",5,2018,""
"6","강구성","강구성01",6,2018,""
"7","강귀태","강귀태01",7,2012,""
"8","강동관","강동관01",8,2017,""
"9","강동수","강동수01",9,2015,""
"10","강동연","강동연01",10,2018,""
"11","강동우","강동우01",11,2013,""
"12","강동호","강동호01",12,2017,""
"13","강명구","강명구01",13,2014,""
"14","강민국","강민국01",14,2018,""
"15","강민호","강민호01",15,2018,""
"16","강백호","강백호01",16,2018,""
"17","강병식","강병식01",17,2012,""
"18","강병우","강병우01",18,2010,""
"19","강병의","강병의01",19,2015,""
"20","강봉규","강봉규01",20,2015,""
"21","강상원","강상원01",21,2018,""
"22","강승현","강승현01",22,2018,""
"23","강승호","강승호01",23,2018,""
"24","강영식","강영식01",24,2017,""
"25","강윤구","강윤구01",25,2018,""
"26","강장산","강장산01",26,2017,""
"27","강정호","강정호01",27,2014,""
"28","강지광","강지광01",28,2018,""
"29","강진성","강진성01",29,2018,""
"30","강철민","강철민01",30,2010,""
"31","강한울","강한울01",31,2018,""
"32","경헌호","경헌호01",32,2011,""
"33","고도현","고도현01",33,2014,""
"34","고동진","고동진01",34,2015,""
"35","고든","고든01",35,2012,""
"36","고메즈","고메즈01",36,2016,""
"37","고명성","고명성01",37,2018,""
"38","고봉재","고봉재01",38,2017,""
"39","고영민","고영민01",39,2016,""
"40","고영우","고영우01",40,2016,""
"41","고영창","고영창01",41,2018,""
"42","고영표","고영표01",42,2018,""
"43","고우석","고우석01",43,2018,""
"44","고원준","고원준01",44,2017,""
"45","고장혁","고장혁01",40,2017,""
"46","고종욱","고종욱01",46,2018,""
"47","고창성","고창성01",47,2018,""
"48","고효준","고효준01",48,2018,""
"49","곤잘레스","곤잘레스01",49,2010,""
"50","곽동훈","곽동훈01",50,2011,""
"51","곽빈","곽빈01",51,2018,""
"52","곽정철","곽정철01",52,2016,""
"53","구대성","구대성01",53,2010,""
"54","구본범","구본범01",54,2015,""
"55","구승민","구승민01",55,2018,""
"56","구자욱","구자욱01",56,2018,""
"57","구자운","구자운01",57,2010,""
"58","구자형","구자형01",58,2015,""
"59","구창모","구창모01",59,2018,""
"60","국해성","국해성01",60,2018,""
"61","권도영","권도영01",61,2010,""
"62","권영준","권영준01",62,2012,""
"63","권영진","권영진01",63,2012,""
"64","권오준","권오준01",64,2018,""
