ID,이름,현재.상태,생년월일,samename_check
92501,가득염,은퇴,1969년 10월 01일,
70441,가르시아,은퇴,1968년 05월 11일,1군기록없음
78595,가르시아,은퇴,1975년 10월 29일,10_롯데_11_한화
72736,가르시아,은퇴,1975년 05월 20일,1군기록없음
68103,가르시아,은퇴,1985년 04월 12일,18_LG
61435,가코,은퇴,1981년 01월 02일,
61700,강경학,KBO,1992년 08월 11일,
62917,강구성,Futures,1993년 06월 09일,
72312,강귀태,은퇴,1979년 08월 12일,
65514,강동관,은퇴,1996년 11월 01일,
61295,강동연,KBO,1992년 12월 18일,
98420,강동우,은퇴,1974년 04월 20일,10_13_season_한화
65518,강동우,은퇴,1991년 03월 19일,1군기록없음
67591,강동호,Futures,1994년 04월 21일,17_season_롯데
63973,강동호,은퇴,1990년 03월 26일,1군기록없음
65515,강로한,KBO,1992년 05월 13일,
73409,강명구,은퇴,1980년 10월 25일,10_14_season_삼성
77692,강명구,은퇴,1987년 08월 15일,1군기록없음
64906,강민국,KBO,1992년 01월 10일,
74540,강민호,KBO,1985년 08월 18일,
68050,강백호,KBO,1999년 07월 29일,
72325,강병식,은퇴,1977년 04월 23일,
75143,강병우,은퇴,1986년 12월 26일,
61108,강병의,은퇴,1992년 01월 02일,
70224,강봉규,은퇴,1978년 01월 12일,
66710,강상원,은퇴,1997년 05월 05일,
78552,강승현,은퇴,1985년 10월 06일,
63123,강승호,KBO,1994년 02월 09일,
70615,강영식,은퇴,1981년 06월 17일,
79358,강윤구,KBO,1990년 07월 10일,
67604,강이준,KBO,1998년 04월 07일,
64907,강장산,은퇴,1990년 02월 16일,
69158,강정현,KBO,1995년 09월 23일,
76325,강정호,은퇴,1987년 04월 05일,
89478,강종필,은퇴,1967년 02월 28일,
79130,강지광,KBO,1990년 10월 23일,
62925,강진성,KBO,1993년 10월 19일,
72627,강철민,은퇴,1979년 07월 22일,
99333,강필선,은퇴,1972년 05월 31일,
64610,강한울,Futures,1991년 09월 12일,
70121,경헌호,은퇴,1977년 07월 25일,
63563,고도현,은퇴,1990년 10월 13일,
74745,고동진,은퇴,1980년 04월 01일,
61855,고든,은퇴,1978년 08월 16일,
66805,고메즈,은퇴,1988년 03월 05일,
68069,고명성,KBO,1999년 04월 16일,
66201,고봉재,은퇴,1993년 05월 14일,
69517,고승민,KBO,2000년 08월 11일,
72214,고영민,은퇴,1984년 02월 08일,
63628,고영창,KBO,1989년 02월 24일,
64001,고영표,은퇴,1991년 09월 16일,
73629,고우석,은퇴,1984년 11월 03일,11_12_season_기아
67119,고우석,KBO,1998년 08월 06일,17_19_season_LG
79349,고원준,은퇴,1990년 06월 23일,
63636,고장혁,Futures,1990년 01월 08일,
61353,고종욱,KBO,1989년 01월 11일,
78248,고창성,은퇴,1984년 12월 21일,
72523,고효준,KBO,1983년 02월 08일,
63021,곤잘레스,Futures,1983년 02월 27일,1군기록없음
60154,곤잘레스,은퇴,1983년 02월 23일,10_season_LG
68407,공민규,KBO,1999년 09월 27일,
90581,공필성,은퇴,1967년 11월 11일,
75424,곽동훈,은퇴,1981년 07월 13일,
68220,곽빈,Futures,1999년 05월 28일,
75668,곽정철,은퇴,1986년 03월 14일,
93715,구대성,은퇴,1969년 08월 02일,
79748,구본범,은퇴,1987년 02월 08일,
69100,구본혁,KBO,1997년 01월 11일,
63543,구승민,KBO,1990년 06월 12일,
62404,구자욱,KBO,1993년 02월 12일,
99245,구자운,은퇴,1980년 06월 19일,
64354,구자형,은퇴,1990년 11월 30일,
65933,구창모,KBO,1997년 02월 17일,
79650,구톰슨,은퇴,1977년 01월 11일,
79290,국해성,KBO,1989년 10월 08일,
73363,권도영,은퇴,1981년 02월 11일,
79565,권영준,은퇴,1986년 06월 04일,12_season_롯데
77264,권영준,은퇴,1988년 04월 24일,1군기록없음
78863,권영진,은퇴,1984년 11월 18일,12_season_SK
91819,권영진,은퇴,1968년 03월 15일,1군기록없음
99445,권오준,KBO,1980년 03월 09일,
95158,권용관,은퇴,1976년 11월 19일,
65412,권정웅,Futures,1992년 11월 15일,
72447,권혁,KBO,1983년 11월 06일,
63963,권희동,KBO,1990년 12월 30일,
79858,글로버,은퇴,1976년 12월 03일,
75258,금민철,KBO,1986년 11월 07일,
77733,김강,은퇴,1988년 10월 16일,
63797,김강래,은퇴,1994년 12월 09일,
77263,김강률,KBO,1988년 08월 28일,
71837,김강민,KBO,1982년 09월 13일,
79704,김강석,은퇴,1985년 09월 08일,
86992,김강익,은퇴,1961년 12월 05일,
76225,김건국,KBO,1988년 02월 02일,
60339,김건태,KBO,1991년 10월 02일,
78440,김건필,은퇴,1988년 06월 19일,
71851,김건한,은퇴,1981년 03월 26일,
78409,김경모,은퇴,1989년 06월 15일,
71610,김경언,은퇴,1982년 12월 07일,
60757,김경태,KBO,1991년 02월 28일,11_13_16_19_season_한화
98128,김경태,은퇴,1975년 11월 06일,1군기록없음
80004,김경호,은퇴,1963년 04월 07일,1군기록없음
64260,김경호,KBO,1995년 07월 31일,19_season_두산
95451,김경호,은퇴,1972년 04월 24일,1군기록없음
99152,김광삼,은퇴,1980년 08월 15일,
67118,김광수,은퇴,1998년 09월 16일,1군기록없음
70142,김광수,은퇴,1981년 05월 05일,10_LG_11_14_한화_15_17_기아
82210,김광수,은퇴,1959년 01월 03일,1군기록없음
63601,김광연,은퇴,1991년 11월 13일,
