date,gameid
20200505,OBLG0
20200505,HHSK0
20200505,NCSS0
20200505,LTKT0
20200505,WOHT0
20200506,OBLG0
20200506,HHSK0
20200506,NCSS0
20200506,LTKT0
20200506,WOHT0
20200507,OBLG0
20200507,HHSK0
20200507,NCSS0
20200507,LTKT0
20200507,WOHT0
20200508,KTOB0
20200508,SKLT0
20200508,HTSS0
20200508,LGNC0
20200508,HHWO0
20200509,HTSS0
20200509,HHWO0
20200510,KTOB0
20200510,SKLT0
20200510,HTSS0
20200510,LGNC0
20200510,HHWO0
20200512,SKLG0
20200512,OBLT0
20200512,KTNC0
20200512,SSWO0
20200512,HTHH0
20200513,SKLG0
20200513,OBLT0
20200513,KTNC0
20200513,SSWO0
20200513,HTHH0
20200514,SKLG0
20200514,OBLT0
20200514,KTNC0
20200514,SSWO0
20200514,HTHH0
20200515,NCSK0
20200515,SSKT0
20200515,OBHT0
20200515,LTHH0
20200516,LTHH0
20200516,WOLG1
20200516,NCSK0
20200516,SSKT0
20200516,OBHT0
20200516,WOLG2
20200517,WOLG0
20200517,NCSK0
20200517,SSKT0
20200517,OBHT0
20200517,LTHH0
20200519,NCOB0
20200519,LGSS0
20200519,HHKT0
20200519,LTHT0
20200519,SKWO0
20200520,NCOB0
20200520,LGSS0
20200520,HHKT0
20200520,LTHT0
20200520,SKWO0
20200521,NCOB0
20200521,LGSS0
20200521,HHKT0
20200521,LTHT0
20200521,SKWO0
20200522,KTLG0
20200522,HTSK0
20200522,WOLT0
20200522,OBSS0
20200522,HHNC0
20200523,KTLG0
20200523,HTSK0
20200523,WOLT0
20200523,OBSS0
20200523,HHNC0
20200524,KTLG0
20200524,HTSK0
20200524,WOLT0
20200524,OBSS0
20200524,HHNC0
20200526,SKOB0
20200526,SSLT0
20200526,WONC0
20200526,HTKT0
20200526,LGHH0
20200527,SKOB0
20200527,SSLT0
20200527,WONC0
20200527,HTKT0
20200527,LGHH0
20200528,SKOB0
20200528,SSLT0
20200528,WONC0
20200528,HTKT0
20200528,LGHH0
20200529,LTOB0
20200529,HHSK0
20200529,NCSS0
20200529,LGHT0
20200529,KTWO0
20200530,LGHT0
20200530,LTOB0
20200530,HHSK0
20200530,NCSS0
20200530,KTWO0
20200531,LTOB0
20200531,HHSK0
20200531,NCSS0
20200531,LGHT0
20200531,KTWO0
20200602,SSLG0
20200602,SKNC0
20200602,OBKT0
20200602,LTHT0
20200602,WOHH0
20200603,SSLG0
20200603,SKNC0
20200603,OBKT0
20200603,LTHT0
20200603,WOHH0
20200604,SSLG0
20200604,SKNC0
20200604,OBKT0
20200604,LTHT0
20200604,WOHH0
20200605,HTOB0
20200605,SSSK0
20200605,KTLT0
20200605,LGWO0
20200605,NCHH0
20200606,HTOB0
20200606,NCHH0
20200606,SSSK0
20200606,KTLT0
20200606,LGWO0
20200607,HTOB0
20200607,SSSK0
20200607,KTLT0
20200607,LGWO0
20200607,NCHH0
20200609,SKLG0
20200609,HHLT0
20200609,WOSS0
20200609,OBNC0
20200609,HTKT0
20200610,HHLT0
20200610,WOSS0
20200610,OBNC0
20200610,HTKT0
20200611,SKLG1
20200611,SKLG2
20200611,HHLT0
20200611,WOSS0
20200611,OBNC0
20200611,HTKT0
20200612,LTLG0
20200612,HTSK0
20200612,WONC0
20200612,OBHH0
20200613,KTSS1
20200613,LTLG0
20200613,HTSK0
20200613,WONC0
20200613,OBHH0
20200613,KTSS2
20200614,LTLG0
20200614,HTSK0
20200614,KTSS0
20200614,WONC0
20200614,OBHH0
20200616,SSOB0
20200616,KTSK0
20200616,NCHT0
20200616,LTWO0
20200616,LGHH0
20200617,SSOB0
20200617,KTSK0
20200617,NCHT0
20200617,LTWO0
20200617,LGHH0
20200618,SSOB0
20200618,KTSK0
20200618,LTWO0
20200618,LGHH0
20200619,OBLG0
20200619,HHNC0
20200619,LTKT0
20200619,SSHT0
20200619,SKWO0
20200620,OBLG0
20200620,HHNC0
20200620,LTKT0
20200620,SSHT0
20200620,SKWO0
20200621,OBLG0
20200621,HHNC0
20200621,LTKT0
20200621,SSHT0
20200621,SKWO0
20200623,WOLG0
20200623,OBSK0
20200623,HTLT0
20200623,HHSS0
20200623,NCKT0
20200624,HHSS0
20200625,WOLG1
20200625,OBSK2
20200625,NCKT1
20200625,WOLG2
20200625,OBSK1
20200625,NCKT2
20200625,HHSS0
20200626,NCOB0
20200626,LGSK0
20200626,SSLT0
20200626,HTWO0
20200626,KTHH0
20200627,NCOB0
20200627,LGSK0
20200627,SSLT0
20200627,HTWO0
20200627,KTHH0
20200628,NCOB0
20200628,LGSK0
20200628,SSLT0
20200628,HTWO0
20200628,KTHH0
20200630,KTLG0
20200630,SKSS0
20200630,LTNC0
20200630,OBWO0
20200701,KTLG0
20200701,SKSS0
20200701,LTNC0
20200701,HHHT0
20200701,OBWO0
20200702,KTLG0
20200702,SKSS0
20200702,LTNC0
20200702,HHHT0
20200702,OBWO0
20200703,HHOB0
20200703,SKLT0
20200703,LGSS0
20200703,HTNC0
20200703,WOKT0
20200704,HHOB0
20200704,SKLT0
20200704,LGSS0
20200704,HTNC0
20200704,WOKT0
20200705,HHOB0
20200705,SKLT0
20200705,LGSS0
20200705,HTNC0
20200705,WOKT0
20200707,LGOB0
20200707,NCSK0
20200707,KTHT0
20200707,SSWO0
20200707,LTHH0
20200708,LGOB0
20200708,NCSK0
20200708,KTHT0
20200708,SSWO0
20200708,LTHH0
20200709,LGOB0
20200709,NCSK0
20200709,KTHT0
20200709,SSWO0
20200709,LTHH0
20200710,NCLG0
20200710,OBLT0
20200710,SSKT0
20200710,WOHT0
20200710,SKHH0
20200711,NCLG0
20200711,OBLT0
20200711,SSKT0
20200711,WOHT0
20200711,SKHH0
20200713,WOHT0
20200713,SKHH0
20200714,SKOB0
20200714,LGLT0
20200714,HTSS0
20200714,HHKT0
20200714,NCWO0
20200715,SKOB0
20200715,LGLT0
20200715,HTSS0
20200715,HHKT0
20200715,NCWO0
20200716,SKOB0
20200716,LGLT0
20200716,HTSS0
20200716,HHKT0
20200716,NCWO0
20200717,HHLG0
20200717,WOSK0
20200717,LTSS0
20200717,KTNC0
20200717,OBHT0
20200718,HHLG0
20200718,WOSK0
20200718,LTSS0
20200718,KTNC0
20200718,OBHT0
20200719,HHLG0
20200719,WOSK0
20200719,LTSS0
20200719,KTNC0
20200719,OBHT0
20200721,WOOB0
20200721,LTSK0
20200721,SSNC0
20200721,LGKT0
20200721,HTHH0
20200722,HTHH0
20200724,LGOB0
20200724,NCKT0
20200724,LTWO0
20200724,SKHH0
20200725,LGOB0
20200725,NCKT0
20200725,SSHT0
20200725,LTWO0
20200726,LGOB0
20200726,NCKT0
20200726,SSHT0
20200726,LTWO0
20200726,SKHH0
20200727,SKHH0
20200728,WOOB0
20200728,LGSK0
20200728,NCLT0
20200729,LGSK0
20200729,HHSS0
20200730,WOOB0
20200730,LGSK0
20200730,HHSS0
20200730,KTHT0
20200731,HHLG0
20200731,HTLT0
20200731,WOSS0
20200731,OBNC0
20200731,SKKT0
20200801,HHLG0
20200801,HTLT0
20200801,WOSS0
20200801,OBNC0
20200801,SKKT0
20200802,HTLT0
20200802,WOSS0
20200802,OBNC0
20200804,SSOB0
20200804,LTSK0
20200804,LGHT0
20200804,KTWO0
20200805,SSOB0
20200805,LGHT0
20200805,KTWO0
20200805,NCHH0
20200806,SSOB0
20200806,LTSK0
20200806,LGHT0
20200806,KTWO0
20200806,NCHH0
20200807,LTOB0
20200807,SSSK0
20200807,LGWO0
20200808,LTOB0
20200808,SSSK0
20200808,NCHT0
20200808,LGWO0
