,경기날짜,선수명,포지션,팀,더블헤더여부,홈팀,원정팀,1,2,3,4,5,6,7,8,9,10,11,12,안타,타수,타율,타점,득점
0,2018-03-24,이용규,중,한화,0,넥센,한화,2000,7003,0,0,7405,0,1019,0,2000,0.0,0.0,0.0,1,5,0.2,1,0
1,2018-03-24,양성우,좌,한화,0,넥센,한화,7006,0,7107,0,1017,0,7002,0,7101,0.0,0.0,0.0,1,5,0.2,0,0
2,2018-03-24,송광민,一,한화,0,넥센,한화,1017,0,1019,0,0,2000,0,7003,0,0.0,0.0,0.0,2,4,0.5,0,1
3,2018-03-24,김태균,지,한화,0,넥센,한화,1011,0,1017,0,0,2000,0,1017,0,0.0,0.0,0.0,3,4,0.75,0,0
4,2018-03-24,이동훈,주,한화,0,넥센,한화,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
5,2018-03-24,하주석,유,한화,0,넥센,한화,1017,0,7005,0,0,7003,0,7100,0,0.0,0.0,0.0,1,4,0.25,1,0
6,2018-03-24,최윤석,유,한화,0,넥센,한화,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
7,2018-03-24,정근우,二,한화,0,넥센,한화,7104,0,0,2000,0,0,7102,0,0,0.0,0.0,0.0,0,3,0.0,0,0
8,2018-03-24,정경운,二,한화,0,넥센,한화,0,0,0,0,0,0,0,2000,0,0.0,0.0,0.0,0,1,0.0,0,0
9,2018-03-24,호잉,우,한화,0,넥센,한화,0,1008,0,7101,0,0,1201,0,1018,0.0,0.0,0.0,3,4,0.75,0,2
10,2018-03-24,최재훈,포,한화,0,넥센,한화,0,1016,0,2000,0,0,2000,0,0,0.0,0.0,0.0,1,3,0.333,0,0
11,2018-03-24,지성준,포,한화,0,넥센,한화,0,0,0,0,0,0,0,0,1011,0.0,0.0,0.0,1,1,1.0,0,0
12,2018-03-24,오선진,三,한화,0,넥센,한화,0,7101,0,0,7102,0,3000,0,2000,0.0,0.0,0.0,0,3,0.0,0,0
13,2018-03-25,이용규,중,한화,0,넥센,한화,2000,2000,0,0,1019,0,2000,0,7104,0.0,0.0,0.0,1,5,0.2,0,1
14,2018-03-25,양성우,좌,한화,0,넥센,한화,3100,0,1110,0,7005,0,1116,0,1011,0.0,0.0,0.0,3,4,0.444,0,1
15,2018-03-25,송광민,一,한화,0,넥센,한화,1011,0,1010,0,1116,0,7005,0,7101,0.0,0.0,0.0,3,5,0.556,2,1
16,2018-03-25,김태균,지,한화,0,넥센,한화,2000,0,7006,0,1011,0,2000,0,0,0.0,0.0,0.0,1,4,0.5,1,0
17,2018-03-25,하주석,유,한화,0,넥센,한화,3000,0,2000,0,1019,0,0,1301,0,0.0,0.0,0.0,2,3,0.429,1,1
18,2018-03-25,정근우,二,한화,0,넥센,한화,7101,0,0,3100,7104,0,0,7104,0,0.0,0.0,0.0,0,3,0.0,0,0
19,2018-03-25,호잉,우,한화,0,넥센,한화,0,1019,0,7101,0,2000,0,7007,0,0.0,0.0,0.0,1,4,0.5,0,0
20,2018-03-25,최재훈,포,한화,0,넥센,한화,0,7005,0,7209,0,2000,0,2000,0,0.0,0.0,0.0,0,4,0.143,0,0
21,2018-03-25,오선진,三,한화,0,넥센,한화,0,7104,0,0,7104,7100,0,0,7400,0.0,0.0,0.0,0,4,0.0,0,0
