,경기날짜,선수명,포지션,팀,더블헤더여부,홈팀,원정팀,등판,inning,restinning,승리,패배,무승부,세이브,홀드,삼진,4사구,실점,자책,타수,타자
0,2018-03-24,샘슨,선발투수,한화,0,넥센,한화,1.1,4,0,0,1,0,0,0,8.0,4.0,6.0,5.0,21,25
1,2018-03-24,김범수,불펜투수,한화,0,넥센,한화,5.8,0,2,0,0,0,0,0,1.0,0.0,0.0,0.0,3,3
2,2018-03-24,심수창,불펜투수,한화,0,넥센,한화,5.2,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4
3,2018-03-24,박주홍,불펜투수,한화,0,넥센,한화,6.6,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2
4,2018-03-24,송은범,불펜투수,한화,0,넥센,한화,7.8,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3
5,2018-03-24,서균,불펜투수,한화,0,넥센,한화,7.2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3
6,2018-03-24,박상원,불펜투수,한화,0,넥센,한화,8.5,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1,1
7,2018-03-25,휠러,선발투수,한화,0,넥센,한화,1.1,7,0,1,0,0,0,0,7.0,2.0,1.0,1.0,24,26
8,2018-03-25,송창식,불펜투수,한화,0,넥센,한화,8.9,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1,1
9,2018-03-25,박주홍,불펜투수,한화,0,넥센,한화,8.1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1,1
10,2018-03-25,서균,불펜투수,한화,0,넥센,한화,8.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1
11,2018-03-25,박상원,불펜투수,한화,0,넥센,한화,8.3,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,1,1
12,2018-03-25,정우람,불펜투수,한화,0,넥센,한화,9.4,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,3,3
13,2018-03-27,윤규진,선발투수,한화,0,NC,한화,1.1,3,1,0,1,0,0,0,4.0,4.0,6.0,3.0,14,19
14,2018-03-27,송은범,불펜투수,한화,0,NC,한화,4.2,2,1,0,0,0,0,0,1.0,0.0,0.0,0.0,8,8
15,2018-03-27,심수창,불펜투수,한화,0,NC,한화,6.1,1,0,0,0,0,0,0,2.0,0.0,3.0,3.0,6,6
16,2018-03-27,강승현,불펜투수,한화,0,NC,한화,7.7,0,2,0,0,0,0,0,1.0,0.0,0.0,0.0,3,3
17,2018-03-27,김범수,불펜투수,한화,0,NC,한화,8.1,0,2,0,0,0,0,0,0.0,1.0,0.0,0.0,1,2
18,2018-03-28,배영수,선발투수,한화,0,NC,한화,1.1,6,0,0,0,0,0,0,2.0,2.0,2.0,2.0,20,22
19,2018-03-28,서균,불펜투수,한화,0,NC,한화,7.5,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1
20,2018-03-28,송창식,불펜투수,한화,0,NC,한화,7.6,1,0,1,0,0,0,0,1.0,0.0,0.0,0.0,4,4
21,2018-03-28,박주홍,불펜투수,한화,0,NC,한화,8.1,0,2,0,0,0,0,0,1.0,1.0,0.0,0.0,2,3
22,2018-03-28,박상원,불펜투수,한화,0,NC,한화,9.4,0,2,0,0,0,0,0,0.0,1.0,0.0,0.0,2,3
23,2018-03-28,정우람,불펜투수,한화,0,NC,한화,9.7,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1
24,2018-03-29,김민우,선발투수,한화,0,NC,한화,1.1,1,1,0,0,0,0,0,2.0,1.0,0.0,0.0,7,8
25,2018-03-29,송은범,불펜투수,한화,0,NC,한화,2.9,4,2,0,0,0,0,0,3.0,1.0,0.0,0.0,16,17
26,2018-03-29,송창식,불펜투수,한화,0,NC,한화,7.8,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,3,3
