date,gameid
20180324,HHWO0
20180325,HHWO0
20180327,HHNC0
20180328,HHNC0
20180329,HHNC0
20180330,SKHH0
20180331,SKHH0
20180401,SKHH0
20180403,LTHH0
20180404,LTHH0
20180407,HHKT0
20180408,HHKT0
20180410,HTHH0
20180411,HTHH0
20180412,HTHH0
20180413,SSHH0
20180414,SSHH0
20180415,SSHH0
20180417,HHOB0
20180418,HHOB0
20180419,HHOB0
20180420,WOHH0
20180421,WOHH0
20180422,WOHH0
20180425,HHHT0
20180426,HHHT0
20180427,HHLT0
20180428,HHLT0
20180429,HHLT0
20180501,LGHH0
20180502,LGHH0
20180503,LGHH0
20180504,HHSS0
20180505,HHSS0
20180508,HHWO0
20180509,HHWO0
20180510,HHWO0
20180511,NCHH0
20180513,NCHH0
20180515,KTHH0
20180516,KTHH0
20180517,KTHH0
20180518,HHLG0
20180519,HHLG0
20180520,HHLG0
20180522,OBHH0
20180523,OBHH0
20180524,OBHH0
20180525,HHSK0
20180526,HHSK0
20180527,HHSK0
20180529,NCHH0
20180530,NCHH0
20180531,NCHH0
20180601,HHLT0
20180602,HHLT0
20180603,HHLT0
20180605,HHLG0
20180606,HHLG0
20180607,HHLG0
20180608,SKHH0
20180609,SKHH0
20180610,SKHH0
20180612,HHWO0
20180613,HHWO0
20180614,HHWO0
20180615,OBHH0
20180616,OBHH0
20180617,OBHH0
20180619,LGHH0
20180620,LGHH0
20180621,LGHH0
20180622,HHNC0
20180623,HHNC0
20180624,HHNC0
20180626,SSHH0
20180627,SSHH0
20180628,SSHH0
20180629,LTHH0
20180630,LTHH0
20180703,HHHT0
20180704,HHHT0
20180705,HHHT0
20180706,HHSK0
20180707,HHSK0
20180708,HHSK0
20180710,WOHH0
20180711,WOHH0
20180712,WOHH0
20180717,HHKT0
20180718,HHKT0
20180719,HHKT0
20180720,HHSS0
20180721,HHSS0
20180722,HHSS0
20180724,HTHH0
20180725,HTHH0
20180726,HTHH0
20180727,HHOB0
20180728,HHOB0
20180729,HHOB0
20180731,KTHH0
20180801,KTHH0
20180802,KTHH0
20180804,NCHH0
20180805,NCHH0
20180807,HHOB0
20180808,HHOB0
20180809,WOHH0
20180810,WOHH0
20180811,KTHH0
20180812,KTHH0
20180814,HHLT0
20180816,HHSS0
20180904,LTHH0
20180905,LTHH0
20180906,HHKT0
20180907,HHKT0
20180908,HHLG0
20180909,HHLG0
20180911,HHSS0
20180912,HHSS0
20180913,SKHH0
20180914,SKHH0
20180915,LGHH0
20180916,LGHH0
20180918,HHNC0
20180919,HHNC0
20180920,HHSK0
20180921,HHSK0
20180922,HTHH0
20180923,HTHH0
20180925,SSHH0
20180926,SSHH0
20180927,OBHH0
20180928,OBHH0
20180929,HHHT0
20180930,HHHT0
20181003,LTHH0
20181004,LTHH0
20181006,HHLT0
20181009,HHKT0
20181010,HHHT0
20181013,NCHH0
